model,relation,object,has_prompt_tuning,spearman
oscar-base,color,jacket,False,0.8531468531468532
oscar-base,color,van,False,0.3747816605610153
oscar-base,color,street light,False,0.3986045639319472
oscar-base,color,pole,False,-0.39860139860139865
oscar-base,color,cabinet,False,0.6549922478963537
oscar-base,color,curtain,False,0.5104895104895105
oscar-base,color,drape,False,0.21394487469620077
oscar-base,color,picture,False,0.0875658085422933
oscar-base,color,apple,False,0.8266297135457225
oscar-base,color,counter,False,-0.30472901372718064
oscar-base,color,jacket,True,0.8951048951048951
oscar-base,color,van,True,0.8546422913727825
oscar-base,color,street light,True,0.8360113420519601
oscar-base,color,pole,True,0.8811188811188813
oscar-base,color,cabinet,True,0.9071817764981585
oscar-base,color,curtain,True,0.8601398601398602
oscar-base,color,drape,True,0.8557794987848031
oscar-base,color,picture,True,0.9772344233319931
oscar-base,color,apple,True,0.8846388162506855
oscar-base,color,counter,True,0.8896686147896998
oscar-base,shape,table top,False,0.4075500715665536
oscar-base,shape,top,False,0.6376904837011363
oscar-base,shape,pot,False,0.6744532734334623
oscar-base,shape,nose,False,0.7265582436271444
oscar-base,shape,mirror,False,0.6298488674051953
oscar-base,shape,door,False,0.4568528838455902
oscar-base,shape,recepticle,False,0.4075500715665536
oscar-base,shape,clock,False,0.44119153611827344
oscar-base,shape,coffee table,False,0.7899747783163331
oscar-base,shape,sewer,False,0.4075500715665536
oscar-base,shape,table top,True,0.49811675413689877
oscar-base,shape,top,True,0.6376904837011363
oscar-base,shape,pot,True,0.6744532734334623
oscar-base,shape,nose,True,0.7698057581287602
oscar-base,shape,mirror,True,0.6298488674051953
oscar-base,shape,door,True,0.4568528838455902
oscar-base,shape,recepticle,True,0.49811675413689877
oscar-base,shape,clock,True,0.402490524178074
oscar-base,shape,coffee table,True,0.7899747783163331
oscar-base,shape,sewer,True,0.49811675413689877
oscar-base,material,chair,False,0.8081430474442702
oscar-base,material,lid,False,0.6318163766821326
oscar-base,material,shelf,False,0.8235738762199006
oscar-base,material,bookshelf,False,0.3973597071195132
oscar-base,material,wall,False,0.8600526665632845
oscar-base,material,mug,False,0.5890293917581745
oscar-base,material,candle holder,False,0.6716374338786717
oscar-base,material,leg,False,0.7094540155203626
oscar-base,material,knob,False,0.6490253830509067
oscar-base,material,tray,False,0.6941843098883017
oscar-base,material,chair,True,0.8610637381363916
oscar-base,material,lid,True,0.8051356551105
oscar-base,material,shelf,True,0.7473625623010441
oscar-base,material,bookshelf,True,0.3973597071195132
oscar-base,material,wall,True,0.9389268432707214
oscar-base,material,mug,True,0.7875492754549429
oscar-base,material,candle holder,True,0.7198139586716565
oscar-base,material,leg,True,0.7270729066342788
oscar-base,material,knob,True,0.8161985877761403
oscar-base,material,tray,True,0.8468813662089096
oscar-base,cooccur,man,False,0.39998987234773964
oscar-base,cooccur,glass,False,0.2981373646690377
oscar-base,cooccur,shade,False,0.2099392657524637
oscar-base,cooccur,shirt,False,0.2393055129954417
oscar-base,cooccur,plug,False,0.20493580275854542
oscar-base,cooccur,hair,False,0.31769094631472045
oscar-base,cooccur,desktop,False,0.09373461190064089
oscar-base,cooccur,cabinet,False,0.2730540075853555
oscar-base,cooccur,pillow,False,0.3217668493774929
oscar-base,cooccur,curtain,False,0.2907191934621998
oscar-base,cooccur,man,True,0.45287014462328856
oscar-base,cooccur,glass,True,0.39896328932162556
oscar-base,cooccur,shade,True,0.24394832772745298
oscar-base,cooccur,shirt,True,0.2932453800394091
oscar-base,cooccur,plug,True,0.24442888009054006
oscar-base,cooccur,hair,True,0.38787587986377564
oscar-base,cooccur,desktop,True,0.10564064602622193
oscar-base,cooccur,cabinet,True,0.31245588018409326
oscar-base,cooccur,pillow,True,0.3382363654875743
oscar-base,cooccur,curtain,True,0.3210809485075621
bert-base,color,jacket,True,0.8041958041958043
bert-base,color,van,True,0.651489615554662
bert-base,color,street light,True,0.7584069136758288
bert-base,color,pole,True,0.7132867132867133
bert-base,color,cabinet,True,0.886165982448008
bert-base,color,curtain,True,0.5174825174825175
bert-base,color,drape,True,0.720281078143876
bert-base,color,picture,True,0.99124495269876
bert-base,color,apple,True,0.8773876784125652
bert-base,color,counter,True,0.8126107032724816
bert-base,shape,table top,True,0.49811675413689877
bert-base,shape,top,True,0.6852793257683854
bert-base,shape,pot,True,0.6744532734334623
bert-base,shape,nose,True,0.7265582436271444
bert-base,shape,mirror,True,0.6298488674051953
bert-base,shape,door,True,0.4568528838455902
bert-base,shape,recepticle,True,0.49811675413689877
bert-base,shape,clock,True,0.4605420420883732
bert-base,shape,coffee table,True,0.7804570099028832
bert-base,shape,sewer,True,0.4075500715665536
bert-base,material,chair,True,0.6806026570857978
bert-base,material,lid,True,0.6973246674651123
bert-base,material,shelf,True,0.657969483410644
bert-base,material,bookshelf,True,0.39756490192127053
bert-base,material,wall,True,0.8853603948012061
bert-base,material,mug,True,0.6416026161746587
bert-base,material,candle holder,True,0.6790727060984427
bert-base,material,leg,True,0.47243011676817664
bert-base,material,knob,True,0.7514380455400065
bert-base,material,tray,True,0.855545087082668
bert-base,cooccur,man,True,0.2892264611033031
bert-base,cooccur,glass,True,0.2771039483658235
bert-base,cooccur,shade,True,0.21714729950776307
bert-base,cooccur,shirt,True,0.2688500000974831
bert-base,cooccur,plug,True,0.2512530719454211
bert-base,cooccur,hair,True,0.3592208902863367
bert-base,cooccur,desktop,True,0.10342579599374038
bert-base,cooccur,cabinet,True,0.31272316702601294
bert-base,cooccur,pillow,True,0.35174611962867797
bert-base,cooccur,curtain,True,0.3206413671873202
